City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Avarua,CK,2021-09-22 20:16:58,-21.2078,-159.775,75.25,73,75,6.91
222,Pacific Grove,US,2021-09-22 20:17:41,36.6177,-121.9166,93.61,77,1,3.0
223,Nouadhibou,MR,2021-09-22 20:18:06,20.931,-17.0347,71.28,83,0,23.15
224,Kahului,US,2021-09-22 20:18:02,20.8947,-156.47,87.06,57,20,20.71
225,Nedjo,ET,2021-09-22 20:18:06,9.5046,35.5019,58.84,95,100,1.57
226,Erzin,TR,2021-09-22 20:18:06,36.9559,36.2,77.72,85,17,2.24
227,Thompson,CA,2021-09-22 20:15:03,55.7435,-97.8558,62.13,50,100,8.48
228,Marsa Matruh,EG,2021-09-22 20:18:07,31.3525,27.2453,77.56,79,0,9.24
229,Asfi,MA,2021-09-22 20:18:07,32.2994,-9.2372,71.01,88,93,10.38
230,Longyearbyen,SJ,2021-09-22 20:18:07,78.2186,15.6401,42.64,70,75,20.71
231,Mahina,PF,2021-09-22 20:18:08,-17.5065,-149.489,78.57,78,75,6.91
232,Moindou,NC,2021-09-22 20:18:08,-21.6924,165.677,64.35,75,87,3.06
233,Carnarvon,AU,2021-09-22 20:18:08,-24.8667,113.6333,64.47,94,9,6.91
234,Saint-Augustin,CA,2021-09-22 20:18:09,51.226,-58.6502,68.47,62,51,16.55
235,El Sauzal,MX,2021-09-22 20:18:09,31.9,-116.6833,80.42,64,5,10.47
236,Male,MV,2021-09-22 20:18:10,4.1748,73.5089,83.01,76,75,15.82
237,Carutapera,BR,2021-09-22 20:18:10,-1.195,-46.02,83.12,71,72,10.22
238,Mana,GF,2021-09-22 20:18:10,5.6592,-53.7767,82.49,76,75,10.76
239,Galveston,US,2021-09-22 20:18:11,29.3669,-94.9669,84.31,41,1,5.99
240,Los Andes,CL,2021-09-22 20:18:08,-32.8337,-70.5983,65.97,26,0,6.11
241,Lethem,GY,2021-09-22 20:18:11,3.3803,-59.7968,89.83,54,98,4.16
242,Kharp,RU,2021-09-22 20:18:11,66.8014,65.8081,35.37,92,68,9.48
243,Nichinan,JP,2021-09-22 20:18:12,31.6,131.3667,61.07,69,8,4.52
244,Kainantu,PG,2021-09-22 20:18:12,-6.2887,145.8655,60.49,97,100,0.65
245,Labuhan,ID,2021-09-22 20:18:12,-6.8844,112.2051,78.93,79,93,9.37
246,Ternate,ID,2021-09-22 20:18:12,0.8,127.4,79.23,80,92,2.64
247,Kavos,GR,2021-09-22 20:18:13,38.8268,22.8322,70.14,79,96,4.0
248,Kalmunai,LK,2021-09-22 20:18:13,7.4167,81.8167,79.79,82,100,7.05
249,Clyde River,CA,2021-09-22 20:18:13,70.4692,-68.5914,31.1,86,100,13.58
250,Bulgan,MN,2021-09-22 20:18:14,48.8125,103.5347,38.44,85,36,3.76
251,Kovur,IN,2021-09-22 20:18:14,14.4833,79.9833,85.05,60,100,2.01
252,Dryden,CA,2021-09-22 20:15:04,49.7833,-92.7503,65.59,44,16,8.77
253,Tanda,IN,2021-09-22 20:18:14,26.55,82.65,76.46,91,13,6.89
